id,component,ai_response_id,label,error_category,notes,labeled_at,relabel_round,meeting_text,meeting_date,procedure_id,procedure_title,match_confidence,matched_alias,org_stub_name,org_candidate_name,org_country,org_category,org_fuzzy_score,source_table
,procedure,e9a753eb-a960-41ea-9ccd-862ff9fa0760,correct,,auto:Meeting explicitly discusses CSDDD in context of Omnibus simplification.,2026-05-04T07:26:18.031875+00:00,1,"The ‘omnibus’ simplification initiative. The NGOs expressed concerns about the upcoming Omnibus proposal, focusing on the CSDDD and CSRD. Participants shared their views that these laws would contribute to EU's commitments on human rights, sustainability and climate. Ms Juknė outlined that each Commissioner was asked to achieve simplificat",2025-01-29,2022/0051(COD),Corporate Sustainability Due Diligence,0.9,,,,,,,commission
,procedure,4cdedb84-579e-4a36-990b-efaa1547713b,wrong,too_generic,"auto:Meeting covers multiple digital files; Media Freedom Act mention is one of several topics, but the procedure 2022/0277 was proposed later in 2022, and meeting is exploratory.",2026-05-04T07:26:18.031875+00:00,1,"Exchange on EU digital legislation (DSA/DMA, AVMSD, copyright), audiovisual dialogue and Media Freedom Act",2021-11-29,2022/0277(COD),European Media Freedom Act,0.9,,,,,,,commission
,procedure,acd6779e-d846-4fd0-96c7-5aaba26b9b38,correct,,auto:Meeting explicitly discusses CSRD which is the procedure in question.,2026-05-04T07:26:18.031875+00:00,1,"CSRD and ESRS. Representatives of AICPA shared their impressions as regards the effect of the ESRS and the CSRD, in particular outside the EU borders. They expressed the generalized concern of companies of not getting it right, and they believe that companies would report information even if not mandatory, as inve",2025-03-24,2021/0104(COD),"Amending Directive 2013/34/EU, Directive 2004/109/EC, Directive 2006/43/EC and Regulation (EU) No 537/2014, as regards corporate sustainability reporting",0.9,,,,,,,commission
,procedure,c813f1b3-2335-4574-98a1-8e54a0e5c5ec,correct,,auto:Meeting directly about the Water Resilience Strategy post-adoption.,2026-05-04T07:26:18.031875+00:00,1,Water Resilience Strategy. Reflections on the post-adoption process of the strategy.,2025-06-10,2024/2104(INI),The European Water Resilience Strategy,0.9,,,,,,,commission
,procedure,4735fb92-a8d6-46b8-928b-1bd868dbbc1c,correct,,auto:Representatives explicitly express interest in the Water Resilience Strategy.,2026-05-04T07:26:18.031875+00:00,1,"Water and energy labelling scheme. Representatives underlined their interest in the Water Resilience Strategy and described how they are working with EU -wide labelling for water. They shared their input on how to continue this work, notably under the Ecodesign regulation. The cabinet took note of the input.",2025-12-09,2024/2104(INI),The European Water Resilience Strategy,0.9,,,,,,,commission
,procedure,339e4572-b653-4ccb-bbad-9d787d49e996,correct,,auto:Meeting explicitly discusses DMA compliance impact.,2026-05-04T07:26:18.031875+00:00,1,"Digital Markets Act (DMA), EU competition policy and travel industry trends. - The interest representatives presented their views on the overall market context and global regulatory landscape applicable to their sector, including on the impact of DMA compliance. They noted the importance of contestability and fairness in the cloud sector and welcomed the Commission’s recentl",2025-11-18,2020/0374(COD),Digital Markets Act,0.9,,,,,,,commission
,procedure,5f28e0f6-ae57-470c-b96c-388b2aff5bd9,correct,,auto:Gas package trilogue refers directly to the gas and hydrogen markets directive.,2026-05-04T07:26:18.031875+00:00,1,Gas package trilogue and pipelines,2023-11-28,2021/0425(COD),Gas and hydrogen markets directive (common rules),0.9,,,,,,,lobbying
,procedure,93265848-e0c8-4154-a7a6-8706a3520779,wrong,too_generic,auto:Generic Green Deal/climate ambitions discussion does not specifically address the European Climate Law procedure.,2026-05-04T07:26:18.031875+00:00,1,The European Green Deal and climate ambitions,2021-12-02,2020/0036(COD),Establishing the framework for achieving climate neutrality and amending Regulation (EU) 2018/1999 (European Climate Law),0.9,,,,,,,commission
,procedure,fbf51ee0-bd87-4356-a893-37920acbfb13,correct,,auto:Retail Investment Strategy directly corresponds to the retail investor protection rules procedure.,2026-05-04T07:26:18.031875+00:00,1,Digital Euro; Retail Investment Strategy,2023-04-27,2023/0167(COD),Retail investor protection rules,0.9,,,,,,,commission
,procedure,da6a52eb-e460-47a5-938d-93784f595425,correct,,auto:Meeting explicitly discusses impact of the AI Act.,2026-05-04T07:26:18.031875+00:00,1,"Digital policy. - Impact of the AI Act on transparency and the supply chain
- Impact of DMA and DSA on competition
- Age verification and the eIDAS framework
- Digital Fairness Act and timeline",2025-09-29,2021/0106(COD),Artificial Intelligence Act,0.9,,,,,,,commission
,procedure,737ecb1a-e00f-43c0-8970-871fce4bb501,correct,,"auto:PPWR is the Packaging and Packaging Waste Regulation, matching the procedure.",2026-05-04T07:26:25.946683+00:00,1,PPWR and chemical recycling,2023-06-14,2022/0396(COD),Packaging and packaging waste,0.9,,,,,,,lobbying
,procedure,99eca5d0-c919-4532-bdea-61153e9a9d4e,wrong,unrelated_topic,"auto:Meeting is about rail transport in the Green Deal, not specifically the European Climate Law.",2026-05-04T07:26:25.946683+00:00,1,Rail transport in the European Green Deal,2020-04-07,2020/0036(COD),Establishing the framework for achieving climate neutrality and amending Regulation (EU) 2018/1999 (European Climate Law),0.9,,,,,,,commission
,procedure,33062e7f-a9cf-46a6-89d4-ce1d81491c5f,correct,,auto:AI Act meeting clearly refers to this procedure.,2026-05-04T07:26:25.946683+00:00,1,AI Act and presentation of the company,2024-06-19,2021/0106(COD),Artificial Intelligence Act,0.9,,,,,,,commission
