organisation,transparency_reg_id,source_type,preproposal_meetings_total,preproposal_meetings_commission,preproposal_meetings_ep,article_type,article_number,article_title,similarity_score,provision_effect,label,reasoning,n_chunks,conflict
ACT | The App Association,7202951387754,hys_feedback,0,0,0,article,32,Digital Markets Advisory Committee,0.841869,"Establishes the Digital Markets Advisory Committee to assist the Commission, defining its procedural rules including written procedures, communication of opinions, and applicable regulatory framework.",NOISE,"The organisation's text is a general concluding statement expressing broad support for EU digital single market ambitions and recommending a cautious, case-by-case regulatory approach, with no specific position on the creation or functioning of an advisory committee. This is boilerplate advocacy language with no directional stance on the specific mechanism established by Article 32.",1,False
Access Now Europe,241832823598-19,hys_feedback,2,2,0,article,15,Market investigation for designating gatekeepers,0.872521,Establishes the procedure and timeline for the Commission to conduct market investigations to designate providers of core platform services as gatekeepers.,NOISE,"Access Now's position is a general endorsement of the Commission's initiative and a broad argument that large platforms act as ""fundamental rights gatekeepers"" beyond mere economic gatekeepers — it does not express any specific stance on the procedural mechanics of market investigations, timelines, or designation criteria established in Article 15. The org text contains no directional advocacy position on the specific content of this provision.",1,False
Access Now Europe,241832823598-19,hys_feedback,2,2,0,article,23,Commitments,0.857055,"Establishes a commitments mechanism whereby gatekeepers can offer binding commitments to ensure compliance with obligations, and the Commission can reopen proceedings if facts change, commitments are breached, or information was misleading.",NOISE,"The organisation's text expresses a general welcome for the Commission's regulatory initiative and argues that large platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression — but it takes no specific stance on the commitments mechanism established in Article 23. The org's position is a broad framing argument about the scope of the regulation, not a directional advocacy position on whether or how commitments should be made binding or reopened.",1,False
Access Now Europe,241832823598-19,hys_feedback,2,2,0,article,38,Review,0.868013,Requires the Commission to periodically evaluate the Regulation and consider whether additional rules or obligations are needed to ensure contestable and fair digital markets.,NOISE,"The organisation's text is a general welcome of the Commission's initiative and a broad framing of platforms as ""fundamental rights gatekeepers,"" without any specific advocacy position on the review/evaluation mechanism established in Article 38. The org does not address periodic reviews, evaluation timelines, or the scope of such reviews, so there is no substantive directional stance that can be matched against this provision.",1,False
Access Now Europe,241832823598-19,hys_feedback,2,2,0,article,5,Obligations for gatekeepers,0.859997,"Establishes specific behavioural obligations for gatekeepers, including restrictions on combining personal data without consent, allowing business users to offer services on third-party platforms, and prohibiting certain tying and bundling practices.",ALIGNED,"Access Now explicitly advocates for treating large online platforms as ""fundamental rights gatekeepers"" that set standards on privacy and data protection, and calls for regulatory action to address this. Article 5(a) directly responds to this by prohibiting gatekeepers from combining personal data across services without GDPR-compliant consent, which is a concrete regulatory action in the direction of protecting users' privacy and data protection rights that Access Now specifically highlighted as a concern.",1,False
Access Now Europe,241832823598-19,hys_feedback,2,2,0,article,9,Exemption for overriding reasons of public interest,0.867073,"Establishes a mechanism allowing the Commission to exempt gatekeepers from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, including provisional suspension of obligations.",NOISE,"Access Now's position is a general advocacy statement arguing that large online platforms act as ""fundamental rights gatekeepers"" affecting privacy, data protection, and freedom of expression, with no specific stance on exemption mechanisms or the grounds for suspending gatekeeper obligations. The org text contains no directional position on whether such exemptions should or should not exist, making it impossible to evaluate alignment or opposition with this specific provision.",1,False
Amadeus IT Group,,hys_feedback,0,0,0,article,16,Market investigation into systematic non-compliance,0.875038,"Establishes a mechanism for the Commission to impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations under Articles 5 and 6, subject to proportionality requirements and procedural timelines.",ALIGNED,"Amadeus explicitly advocates that remedies under the ex ante regulatory framework should be ""proportionate"" and ""addressed to the company on which they would be imposed for review and amendments,"" and that companies' rights of defence must be respected. Article 16 directly responds to these positions by requiring that remedies be ""proportionate to the infringement committed,"" setting out procedural steps including communicating objections to the gatekeeper, and conditioning structural remedies on the absence of equally effective behavioural alternatives — all concrete actions in the direction Amadeus advocated.",1,False
Amadeus IT Group,,hys_feedback,0,0,0,article,19,Requests for information,0.84436,"Establishes the Commission's power to request information, access to databases and algorithms from undertakings by simple request or decision, including prior to opening a market investigation or proceedings.",UNDETECTABLE,"Amadeus advocates for clear and well-defined criteria governing Commission intervention powers, binding timelines, proportionality, and respect for companies' rights of defence — all of which relate to the scope and procedural safeguards around Commission investigative powers. Article 19 grants the Commission broad information-gathering powers (including access to databases and algorithms) with some procedural requirements (stating purpose, time-limits, penalties), but it is genuinely unclear whether these procedural requirements satisfy Amadeus's demand for sufficiently clear criteria and adequate safeguards, or whether Amadeus would view the broad powers granted as the kind of unclear intervention criteria it explicitly opposes.",2,False
Amadeus IT Group,,hys_feedback,0,0,0,article,26,Fines,0.84419,"Establishes fines of up to 10% of total turnover for gatekeepers failing to comply with obligations, and up to 1% for procedural infringements such as providing incorrect information or refusing inspections.",UNDETECTABLE,"Amadeus advocates for proportionate remedies, clear criteria, companies' rights of defence, and full judicial review of Commission decisions — positions that are broadly relevant to enforcement mechanisms like fines. However, the org text does not specifically address the level, structure, or appropriateness of financial penalties, so it is genuinely unclear whether the provision's fine regime satisfies, contradicts, or ignores Amadeus's advocacy.",2,False
Amadeus IT Group,,hys_feedback,0,0,0,article,30,Right to be heard and access to the file,0.844879,"Establishes the right of gatekeepers and undertakings to be heard before Commission decisions, to submit observations, and to access the Commission's file, ensuring full respect of rights of defence in proceedings.",ALIGNED,"Amadeus explicitly advocates that ""companies' rights of defense during Commission proceedings should be respected,"" which directly corresponds to Article 30's establishment of the right to be heard, the right to submit observations, and the right to access the Commission's file with full respect for rights of defence. The provision concretely delivers what the organisation specifically requested.",2,False
Amadeus IT Group,,hys_feedback,0,0,0,article,5,Obligations for gatekeepers,0.862333,"Article 5 imposes specific behavioural obligations on gatekeepers, including restrictions on combining personal data, prohibitions on self-preferencing through tying/bundling, requirements to allow business users to offer services on third-party platforms, and transparency obligations for advertising services.",ALIGNED,"Amadeus explicitly advocates for ex ante regulation targeting gatekeeper conduct such as leveraging dominant positions, exclusionary practices, forcing advertising spend, and self-preferencing — all of which Article 5 directly addresses through concrete behavioural obligations. The provision takes action in the same direction Amadeus advocated for, including restrictions on data combination (addressing data-leveraging concerns), prohibitions on tying/bundling (addressing forced registration/advertising), and transparency in advertising (addressing the forced advertising spend issue).",1,False
Amadeus IT Group,,hys_feedback,0,0,0,article,6,Obligations for gatekeepers susceptible of being further specified,0.860775,"Article 6 establishes a set of behavioural obligations for gatekeepers, including prohibitions on self-preferencing, data misuse against business users, and requirements for data portability, interoperability, and non-discriminatory access to platform services.",ALIGNED,"Amadeus explicitly advocates for ex ante obligations targeting self-preferencing (addressed in Art. 6(d)), leveraging data against competitors (addressed in Art. 6(a)), data access/portability obligations (addressed in Art. 6(h) and 6(i)), and interoperability requirements (addressed in Art. 6(f)) — all of which are concretely delivered by Article 6. The org's specific asks map directly onto multiple sub-provisions of this article, making this a clear case of alignment under path (a).",2,True
Amadeus IT Group,,hys_feedback,0,0,0,article,8,Suspension,0.87377,Establishes a mechanism allowing gatekeepers to request suspension of specific obligations under Articles 5 and 6 where compliance would endanger their economic viability due to exceptional circumstances beyond their control.,ALIGNED,"Amadeus explicitly advocates that proposed remedies under the ex ante regulatory framework should be proportionate and subject to review and amendments by the company on which they are imposed. Article 8's suspension mechanism directly responds to this by providing gatekeepers a formal avenue to seek relief from specific obligations when compliance would threaten their economic viability, embedding a proportionality safeguard into the regulation. This aligns with Amadeus's call for proportionate remedies and procedural rights for the regulated company.",1,False
Amadeus IT Group,,hys_feedback,0,0,0,article,9,Exemption for overriding reasons of public interest,0.866086,"Establishes a mechanism by which the Commission may exempt a gatekeeper, in whole or in part, from specific obligations under Articles 5 and 6 on grounds of public morality, public health, or public security, and may provisionally suspend such obligations pending a full decision.",UNDETECTABLE,"Amadeus advocates that remedies under the ex ante regulatory framework should be proportionate and subject to procedural safeguards (rights of defence, judicial review, market testing), which has a tangential connection to the exemption mechanism in Article 9. However, the provision specifically concerns exemptions on public interest grounds (morality, health, security), while Amadeus's position focuses on proportionality of remedies and procedural rights more broadly — it is genuinely unclear whether this exemption mechanism satisfies, contradicts, or is simply orthogonal to Amadeus's specific advocacy concerns.",1,False
BEUC - The European Consumer Organisation,9505781573-45,hys_feedback,4,4,0,article,16,Market investigation into systematic non-compliance,0.874626,"Establishes a mechanism for the Commission to impose behavioural or structural remedies on gatekeepers found to have systematically infringed obligations, defining the conditions and procedures for such market investigations.",ALIGNED,"BEUC explicitly advocates for the Commission to have powers to impose both behavioural and structural remedies through market investigations, and the provision directly establishes exactly such a mechanism — including the ability to impose structural remedies where appropriate. The org's specific ask for a market investigation tool with the power to impose behavioural and structural remedies is directly delivered by this article.",1,False
BEUC - The European Consumer Organisation,9505781573-45,hys_feedback,4,4,0,article,17,Market investigation into new services and new practices,0.855872,"Establishes a mechanism for the Commission to conduct market investigations to add new services to the list of core platform services or detect new unfair/anti-competitive practices not covered by the Regulation, with a report due within 24 months.",NOISE,"The org text expresses only general support for ex-ante regulation and complementary competition tools to benefit consumers, without taking any specific directional stance on market investigation mechanisms, timelines, or the process for expanding the scope of core platform services. The position is too broad and general — any provision in the DMA could plausibly be said to serve the org's stated goal of open, competitive, and fair markets.",1,False
BEUC - The European Consumer Organisation,9505781573-45,hys_feedback,4,4,0,article,19,Requests for information,0.841765,"Establishes the Commission's power to request information, access to databases and algorithms from undertakings, either by simple request or by decision, for the purpose of monitoring, implementing and enforcing the regulation.",NOISE,"The org text discusses structural design questions around lists of regulated entities, prohibited practices, enforcement consistency, and references to other EU legislation as inspiration — it does not express any specific advocacy position on the Commission's information-gathering powers or access to databases and algorithms. There is no substantive directional stance in the org text that relates to what Article 19 establishes.",1,False
